tiempo,referencia,hc,f_pid
1,40,-0.0008,0.0
26,40,39.9978,100.0
51,40,37.7869,0.0940821250000451
76,40,43.279,39.7178801260206
101,40,41.2851,0.0
126,40,41.4046,0.0
151,40,39.2836,0.0
176,40,36.997,12.9575703616449
201,40,34.5566,53.6691022427915
226,40,31.874,97.4149081677146
251,40,34.0989,100.0
276,40,40.3251,100.0
301,40,45.3007,0.0
326,40,49.4333,0.0
351,40,47.7666,0.0
376,40,45.9592,0.0
401,39,44.0959,0.0
426,39,42.0964,0.0
451,39,40.0133,0.0
476,39,37.7775,0.0
501,39,35.4206,21.7814260493309
526,39,32.8182,64.1266116017522
551,39,30.9975,100.0
576,39,34.595,100.0
601,39,40.8862,79.1096032034783
626,39,45.7938,0.0
651,39,48.5194,0.0
676,39,46.768,0.0
701,39,44.949,0.0
726,39,42.9928,0.0
751,39,40.9766,0.0
776,39,38.7786,0.0
801,27,36.5069,3.34255606061116
826,27,33.9594,0.0
851,27,31.289,0.0
876,27,28.2667,0.0
901,27,24.8381,0.0
926,27,20.8768,38.4431592885337
951,27,15.964,100.0
976,27,18.778,100.0
1001,27,31.4659,100.0
1026,27,38.6688,0.0
1051,27,44.0342,0.0
1076,27,42.0852,0.0
1101,27,39.9837,0.0
1126,27,37.7591,0.0
1151,27,35.3741,0.0
1176,27,32.7499,0.0
1201,24,29.9284,0.0
1226,24,26.7424,0.0
1251,24,23.1185,0.0
1276,24,18.7514,15.5558162564202
1301,24,13.153,93.9222712103489
1326,24,5.3688,100.0
1351,24,27.0723,100.0
1376,24,35.8342,0.0
1401,24,41.841,0.0
1426,24,39.7699,0.0
1451,24,37.5064,0.0
1476,24,35.107,0.0
1501,24,32.4735,0.0
1526,24,29.5911,0.0
1551,24,26.397,0.0
1576,24,22.6697,0.0
1601,47,18.2184,23.5317711083767
1626,47,12.4484,100.0
1651,47,10.3871,100.0
1676,47,28.8527,100.0
1701,47,36.9326,100.0
1726,47,42.6939,100.0
1751,47,47.2374,77.2777479978501
1776,47,51.0611,0.0
1801,47,53.2082,0.0
1826,47,51.6473,0.0
1851,47,50.0081,0.0
1876,47,48.333,0.0
1901,47,46.5574,0.0
1926,47,44.752,8.00892200104389
1951,47,42.8034,40.1684078538344
1976,47,40.719,75.1846531718039
2001,38,40.909,100.0
2026,38,43.9403,0.0
2051,38,48.2844,0.0
2076,38,46.5202,0.0
2101,38,44.7174,0.0
2126,38,42.7357,0.0
2151,38,40.7034,0.0
2176,38,38.5036,0.0
2201,38,36.1576,0.0
2226,38,33.6188,32.6844201780405
2251,38,30.8811,77.7960742020847
2276,38,30.5547,100.0
2301,38,35.7723,100.0
2326,38,41.7595,39.8123342650413
2351,38,46.4722,0.0
2376,38,46.5183,0.0
2401,23,44.6662,0.0
2426,23,42.7234,0.0
2451,23,40.6634,0.0
2476,23,38.4916,0.0
2501,23,36.171,0.0
2526,23,33.6157,0.0
2551,23,30.8743,0.0
2576,23,27.794,0.0
2601,23,24.3419,0.0
2626,23,20.2769,0.0
2651,23,15.1783,48.4486017403678
2676,23,7.7363,100.0
2701,23,17.826,100.0
2726,23,31.0867,91.8896701959135
2751,23,38.4373,0.0
2776,23,43.1631,0.0
2801,40,41.2181,0.0
2826,40,39.044,0.0
2851,40,36.7731,17.0329268159464
2876,40,34.2632,57.5311599937207
2901,40,31.894,100.0
2926,40,34.5881,100.0
2951,40,40.881,96.2862547215668
2976,40,45.7702,0.0
3001,40,49.5977,0.0
3026,40,47.9495,0.0
3051,40,46.1593,0.0
3076,40,44.2885,0.0
3101,40,42.3223,0.0
3126,40,40.2357,0.0
3151,40,38.0093,0.0
3176,40,35.6506,34.7874056856338
3201,23,33.1105,77.2797159265431
3226,23,32.9263,0.0
3251,23,37.5297,0.0
3276,23,35.1265,0.0
3301,23,32.526,0.0
3326,23,29.6774,0.0
3351,23,26.4387,0.0
3376,23,22.7524,0.0
3401,23,18.3211,3.85377693922424
3426,23,12.5617,83.2569684557751
3451,23,2.7684,100.0
3476,23,25.0521,100.0
3501,23,34.6629,0.0
3526,23,40.9379,0.0
3551,23,38.8007,0.0
3576,23,36.5133,0.0
3601,37,33.9969,0.0
3626,37,31.2768,53.0735426885427
3651,37,28.267,100.0
3676,37,30.9751,100.0
3701,37,38.3579,100.0
3726,37,43.7368,0.0
3751,37,48.1325,0.0
3776,37,46.3939,0.0
3801,37,44.5203,0.0
3826,37,42.6026,0.0
3851,37,40.5244,0.0
3876,37,38.3091,0.0
3901,37,35.9556,0.0
3926,37,33.4192,17.9451077276736
3951,37,30.6614,63.2577973281755
3976,37,28.1197,100.0
4001,33,32.2292,100.0
4026,33,39.2002,13.0227233621833
4051,33,44.4475,0.0
4076,33,42.5027,0.0
4101,33,40.4095,0.0
4126,33,38.2512,0.0
4151,33,35.8763,0.0
4176,33,33.3065,0.0
4201,33,30.5419,0.0
4226,33,27.4335,43.2876393824209
4251,33,23.9292,98.6071158784262
4276,33,25.9072,100.0
4301,33,34.9519,100.0
4326,33,41.1557,0.0
4351,33,46.0165,0.0
