tiempo,referencia,hc,f_pid,predicted_hc
0,25,1e-06,0,1e-06
1,25,-0.00114879571550508,0,1e-06
2,25,0.0689187573707515,0,1e-06
3,25,-0.166948438761059,0,1e-06
4,25,0.0421464943421938,0,1e-06
5,25,0.133704465325442,0,1e-06
6,25,-0.020611637068817,0,1e-06
7,25,0.0591273650493691,0,1e-06
8,25,0.0666648910166017,0,1e-06
9,25,0.212536562898424,0,1e-06
10,25,0.125859366035068,0,1e-06
11,25,-0.185340896030607,0,1e-06
12,25,-0.0655844536281888,0,1e-06
13,25,-0.100318843503703,0,1e-06
14,25,-0.0224113285168496,0,1e-06
15,25,-0.0619070272477837,0,1e-06
16,25,0.13896257082729,0,1e-06
17,25,-0.0312025973752409,0,1e-06
18,25,0.233474251186652,0,1e-06
19,25,0.197730226227215,0,1e-06
20,25,-0.0476561255860159,0,1e-06
21,25,0.164623425974867,0,1e-06
22,25,-0.0042008004280747,0,1e-06
23,25,-0.135052565941777,0,1e-06
24,25,0.144996603003092,0,1e-06
25,25,-0.296507335501477,0,1e-06
26,25,0.0892578499975551,0,1e-06
27,25,-0.0609837976112156,0,1e-06
28,25,0.21056536423352,0,1e-06
29,25,0.00683322555258675,0,1e-06
30,25,-0.1567955515334,0,1e-06
31,25,6.49468247686148,100,6.45406727293767
32,25,9.41419763828321,100,9.25092747565192
33,25,11.23480951248,100,11.2480878249531
34,25,12.8969451690372,100,12.8520205314668
35,25,14.4717114219917,100,14.2134932642929
36,25,15.1513639765935,100,15.4075301706521
37,25,16.2968065858914,100,16.4776430934218
38,25,17.6400916685685,100,17.4516162351665
39,25,18.4905859116071,100,18.3484130787958
40,25,19.0582100994666,100,19.1816274062866
41,25,19.8442969433881,100,19.9613782319821
42,25,20.7619945792572,100,20.6954268565257
43,25,21.0538744153843,100,21.3898729735317
44,25,22.1945635946209,100,22.0496083021654
45,25,22.5785881070964,100,22.6786233027103
46,25,23.4793300659298,100,23.2802210669519
47,25,23.9436824275588,100,23.8571704537143
48,25,24.4992116641474,100,24.4118182426714
49,25,24.904544329114,100,24.9461729138074
50,25,25.4611347598253,100,25.4619683285416
51,25,25.8240926502433,100,25.9607128856692
52,25,26.6254404362678,100,26.4437279907396
53,25,26.8030216242893,100,26.9121785364414
54,25,27.4274338435792,100,27.367097324137
55,25,27.7856952196371,100,27.8094048301899
56,25,28.0191361944626,100,28.2399253529745
57,25,28.6168777927048,100,28.6594003153793
58,25,29.1078860462647,100,29.068499309476
59,25,29.4385625466367,100,29.4678293326056
60,25,29.9215404441753,100,29.8579425624896
61,25,29.8231519347108,0,29.7629150325524
62,25,29.6838944964278,0,29.6420788099021
63,25,29.4314997228998,0,29.520703048375
64,25,29.3688789267085,0,29.3987812377309
65,25,29.4691230192955,0,29.2763067387087
66,25,29.3041918447363,0,29.1532727794517
67,25,29.0095842520115,0,29.0296724518049
68,25,28.893525760068,0,28.9054987074794
69,25,28.8045355531112,0,28.7807443540773
70,25,28.6727176341815,0,28.6554020509712
71,25,28.5229031085586,0,28.5294643050317
72,25,28.6075923293791,0,28.4029234661963
73,25,28.4563592743409,0,28.2757717228719
74,25,28.132615972996,0,28.1480010971638
75,25,27.9200820581298,0,28.0196034399224
76,25,27.7138197314963,0,27.8905704256003
77,25,27.8073419318876,0,27.7608935469091
78,25,27.4765470876675,0,27.6305641092687
79,25,27.3867123666062,0,27.4995732250361
80,25,27.3053077597607,0,27.3679118075061
81,25,27.2883637626809,0,27.2355705646708
82,25,27.0559190722896,0,27.1025399927264
83,25,27.0478448998563,0,26.9688103693148
84,25,26.9620333606352,0,26.8343717464874
85,25,26.4785328521782,0,26.6992139433759
86,25,26.6320228275912,0,26.5633265385551
87,25,26.5135828203339,0,26.4266988620834
