tiempo,referencia,hc,f_pid
0,25,1e-06,0
1,25,-0.337009408421462,0.01
2,25,0.115476553967423,0.01
3,25,0.0138624160011376,0.01
4,25,0.439229888652761,0.01
5,25,-0.218489272820954,0.01
6,25,0.128671419827154,0.01
7,25,0.134111884167657,0.01
8,25,0.108316462826201,0.01
9,25,0.196377331220423,0.01
10,25,-0.240445473214253,0.01
11,25,0.315893640527592,0.01
12,25,-0.138100239816723,0.01
13,25,0.0185724068566616,0.01
14,25,-0.0862911539209362,0.01
15,25,-0.269961921842295,0.01
16,25,0.64785851757469,0.01
17,25,0.0657526284781716,0.01
18,25,-0.154461385009126,0.01
19,25,-0.284090515687919,0.01
20,25,0.166729019835863,0.01
21,25,0.52255931168894,0.01
22,25,0.0165879923151225,0.01
23,25,-0.103135373675463,0.01
24,25,-0.14000775421182,0.01
25,25,0.271242695522381,0.01
26,25,-0.250889541373581,0.01
27,25,0.483881280391681,0.01
28,25,0.0584718061281885,0.01
29,25,-0.334442877512499,0.01
30,25,0.0216009737892651,0.01
31,25,6.39089753849872,99.99
32,25,9.43194424089539,99.99
33,25,10.9907793024832,99.99
34,25,12.7426891762697,99.99
35,25,14.317790007945,99.99
36,25,15.3323073777953,99.99
37,25,16.0315720286957,99.99
38,25,17.6488710306404,99.99
39,25,18.5003104145645,99.99
40,25,19.2297697669232,99.99
41,25,19.8953243977061,99.99
42,25,20.8168545945287,99.99
43,25,21.5344514955382,99.99
44,25,22.1326079998644,99.99
45,25,22.5388985150815,99.99
46,25,23.4587829345692,99.99
47,25,23.8892449043409,99.99
48,25,24.5653635157778,99.99
49,25,24.8954273041165,99.99
50,25,25.6664283341515,99.99
51,25,25.9154872071042,99.99
52,25,26.6081840086094,99.99
53,25,26.9687242684734,99.99
54,25,27.2629825405698,99.99
55,25,27.9186482591324,99.99
56,25,28.4307652503494,99.99
57,25,28.960693088856,99.99
58,25,29.1035810681022,99.99
59,25,29.5353039903745,99.99
60,25,29.8086622900861,99.99
61,25,29.7394858151344,0.01
62,25,29.7015303500772,0.01
63,25,29.5476600276726,0.01
64,25,29.3403322412668,0.01
65,25,29.5529363640361,0.01
66,25,29.3350099684062,0.01
67,25,29.1360464926015,0.01
68,25,28.9507849947322,0.01
69,25,28.6659156191037,0.01
70,25,28.7398296639439,0.01
71,25,28.5763312461214,0.01
72,25,28.4597331824923,0.01
73,25,28.2798863568168,0.01
74,25,28.3320365872102,0.01
75,25,28.310159590583,0.01
76,25,27.7161759773463,0.01
77,25,27.7978132583032,0.01
78,25,27.3530027863702,0.01
79,25,27.5077514733004,0.01
80,25,27.0985769848409,0.01
81,25,27.1434140053574,0.01
82,25,27.0081313844504,0.01
83,25,26.755970997676,0.01
84,25,26.7852575664366,0.01
85,25,26.6970758815177,0.01
86,25,26.5816809498133,0.01
87,25,26.24515180445,0.01
88,25,26.3084700087763,0.01
89,25,25.8819369959834,0.01
90,25,26.0025922334009,0.01
91,25,25.9013088092019,0.01
92,25,25.7768556964001,0.01
93,25,25.6682706958633,0.01
94,25,25.6041314522332,0.01
95,25,25.2050802629105,0.01
96,25,25.0708444257956,0.01
97,25,24.8360095534682,0.01
98,25,24.9099924932463,0.01
99,25,24.8189223649456,0.01
100,25,24.538192831523,0.01
101,25,24.2786150152185,0.01
102,25,24.3496665828331,0.01
103,25,24.219104942987,0.01
104,25,23.8074069738136,0.01
105,25,23.7976783343534,0.01
106,25,23.8049992145047,0.01
107,25,23.6918687570632,0.01
108,25,23.7462697251151,0.01
109,25,23.0912302979749,0.01
110,25,23.229564412525,0.01
111,25,22.8820910869419,0.01
112,25,22.8752661309885,0.01
113,25,22.7346864134296,0.01
114,25,22.405246410198,0.01
115,25,22.1701141663389,0.01
116,25,21.914089857559,0.01
117,25,21.8600993928091,0.01
118,25,21.7900717032407,0.01
119,25,21.5451577177741,0.01
120,25,21.4915217885826,0.01
121,25,21.8701703036381,75.3109664810117
122,25,22.3511284636647,75.3109664810117
123,25,22.5779140029341,75.3109664810117
124,25,23.0413973061648,75.3109664810117
125,25,23.3613374224267,75.3109664810117
126,25,23.9227157617201,75.3109664810117
127,25,23.9859879057151,75.3109664810117
128,25,24.3640470569996,75.3109664810117
129,25,24.7369427850067,75.3109664810117
130,25,25.0540880920065,75.3109664810117
131,25,25.5946744101405,75.3109664810117
132,25,25.5386885429685,75.3109664810117
133,25,25.8880029833826,75.3109664810117
134,25,26.442050072857,75.3109664810117
135,25,26.6144833624599,75.3109664810117
136,25,27.0085357318423,75.3109664810117
137,25,27.1786842824122,75.3109664810117
138,25,27.2275200459475,75.3109664810117
139,25,27.7344132205689,75.3109664810117
140,25,28.0933804535768,75.3109664810117
141,25,28.3182179541787,75.3109664810117
142,25,28.6867919836665,75.3109664810117
143,25,28.7309489655688,75.3109664810117
144,25,29.1747097833323,75.3109664810117
145,25,29.3774244193733,75.3109664810117
146,25,29.5829358207172,75.3109664810117
147,25,30.0754987716986,75.3109664810117
148,25,29.8726214549135,75.3109664810117
149,25,30.4753913449072,75.3109664810117
150,25,30.3070223945888,75.3109664810117
151,25,30.5228783211778,0.01
152,25,30.2968506561133,0.01
153,25,30.2869420176775,0.01
154,25,29.9749368452784,0.01
155,25,30.0147767534991,0.01
156,25,29.7067212018255,0.01
157,25,29.8518545686113,0.01
158,25,29.5950171411978,0.01
159,25,29.4325428147876,0.01
160,25,29.3341082416577,0.01
161,25,29.2195668756795,0.01
162,25,29.2412467855205,0.01
163,25,28.7014233507667,0.01
164,25,29.0493920339201,0.01
165,25,28.9903997728277,0.01
166,25,28.6107116800726,0.01
167,25,28.6230461119378,0.01
168,25,28.3076972006754,0.01
169,25,28.5265606621916,0.01
170,25,28.215876478698,0.01
171,25,28.1507394008047,0.01
172,25,27.7276637972173,0.01
173,25,27.7392770118473,0.01
174,25,27.6122132445659,0.01
175,25,27.460117249568,0.01
176,25,27.3140245635707,0.01
177,25,27.2531505353135,0.01
178,25,27.2337367128642,0.01
179,25,26.9369497929785,0.01
180,25,27.0407299010952,0.01
181,25,26.6439570753114,0.01
182,25,26.5798295303015,0.01
183,25,26.2225918699501,0.01
184,25,26.1958233419049,0.01
185,25,26.2331621790735,0.01
186,25,25.8743932541395,0.01
187,25,25.9759723149096,0.01
188,25,25.8656463183638,0.01
189,25,25.4613614567759,0.01
190,25,25.1453398330967,0.01
191,25,25.2830358794385,0.01
192,25,24.7732139425079,0.01
193,25,25.1539484742243,0.01
194,25,24.8747569545148,0.01
195,25,24.713841220091,0.01
196,25,24.3750714036006,0.01
197,25,24.4992277249896,0.01
198,25,24.2730183515857,0.01
199,25,24.1122443978222,0.01
200,25,23.9843850597957,0.01
201,25,23.6662667698079,0.01
202,25,23.6676886690689,0.01
203,25,23.644768768351,0.01
204,25,23.2882018236022,0.01
205,25,23.1666851353662,0.01
206,25,23.1102281842747,0.01
207,25,22.7373724129018,0.01
208,25,22.8115423687611,0.01
209,25,22.3150908772953,0.01
210,25,22.3122408182021,0.01
211,25,22.4262299853077,57.695705024933
212,25,23.016629305845,57.695705024933
213,25,22.9496399961641,57.695705024933
214,25,23.4255307006746,57.695705024933
215,25,23.4572763642945,57.695705024933
216,25,23.7837225458709,57.695705024933
217,25,23.9470988255222,57.695705024933
218,25,24.0549450844026,57.695705024933
219,25,24.4300492836482,57.695705024933
220,25,24.2741661333502,57.695705024933
221,25,24.9477644178074,57.695705024933
222,25,24.8471851598933,57.695705024933
223,25,25.2338794387943,57.695705024933
224,25,25.3270811446105,57.695705024933
225,25,25.5606314640974,57.695705024933
226,25,25.5517683237364,57.695705024933
227,25,25.6114346890466,57.695705024933
228,25,25.9739781972234,57.695705024933
229,25,26.4435264856696,57.695705024933
230,25,26.4656090749785,57.695705024933
231,25,26.6147730942864,57.695705024933
232,25,26.8214959710635,57.695705024933
233,25,26.8674321958048,57.695705024933
234,25,26.9835728394394,57.695705024933
235,25,27.4690596980834,57.695705024933
236,25,27.4944454546156,57.695705024933
237,25,27.489439130283,57.695705024933
238,25,27.5474425231093,57.695705024933
239,25,27.9199512667456,57.695705024933
240,25,28.1806112630299,57.695705024933
241,25,27.8869429062577,0.01
242,25,27.6795005231105,0.01
243,25,27.688331413341,0.01
244,25,27.2784043393245,0.01
245,25,27.3303473531093,0.01
246,25,27.1486353398533,0.01
247,25,27.1454287462399,0.01
248,25,26.8271080819609,0.01
249,25,26.8365974222457,0.01
250,25,26.8912053446332,0.01
251,25,26.7272572935754,0.01
252,25,26.4330352641766,0.01
253,25,26.2196918884128,0.01
254,25,26.2229595059763,0.01
255,25,26.2497924073617,0.01
256,25,25.8243593689362,0.01
257,25,25.6663785738278,0.01
258,25,25.8676066747144,0.01
259,25,25.3821905049408,0.01
260,25,25.3276455719918,0.01
261,25,25.116192445851,0.01
262,25,25.2395649183162,0.01
263,25,25.2057992610909,0.01
264,25,24.93938540805,0.01
265,25,24.4049684314695,0.01
266,25,24.5652846852092,0.01
267,25,24.5557199793,0.01
268,25,24.2034508747088,0.01
269,25,24.0440675893312,0.01
270,25,24.024218061698,0.01
271,25,23.9190273135763,20.9724018305205
272,25,23.932572353745,20.9724018305205
273,25,23.6603550740371,20.9724018305205
274,25,23.4160957203409,20.9724018305205
275,25,23.3149309025774,20.9724018305205
276,25,23.3775382176589,20.9724018305205
277,25,23.1790359161754,20.9724018305205
278,25,22.9989673384756,20.9724018305205
279,25,22.6783441765602,20.9724018305205
280,25,22.8877596686042,20.9724018305205
281,25,22.797043043712,20.9724018305205
282,25,22.5068783001721,20.9724018305205
283,25,22.6694762238037,20.9724018305205
284,25,22.4081801910809,20.9724018305205
285,25,22.2206657951641,20.9724018305205
286,25,22.3973077683796,20.9724018305205
287,25,22.244799913865,20.9724018305205
288,25,22.2381283797312,20.9724018305205
289,25,22.001721666831,20.9724018305205
290,25,21.7693004293439,20.9724018305205
291,25,21.3908246183155,20.9724018305205
292,25,21.3068277376638,20.9724018305205
293,25,21.3618548547488,20.9724018305205
294,25,21.2791974198961,20.9724018305205
295,25,21.2078890163436,20.9724018305205
296,25,21.4263239241825,20.9724018305205
297,25,21.2246854663668,20.9724018305205
298,25,20.8635248834419,20.9724018305205
299,25,21.0985287908958,20.9724018305205
300,25,20.7459332627538,20.9724018305205
301,25,21.1124371557862,91.2943654002852
302,25,22.1222371637128,91.2943654002852
303,25,22.4729995164149,91.2943654002852
304,25,22.9081267388949,91.2943654002852
305,25,23.5494941304166,91.2943654002852
306,25,24.2118400320171,91.2943654002852
307,25,24.4207638398228,91.2943654002852
308,25,24.7846214164389,91.2943654002852
309,25,25.4186360884003,91.2943654002852
310,25,26.02738906824,91.2943654002852
311,25,26.2541076939017,91.2943654002852
312,25,26.368443952056,91.2943654002852
