tiempo,referencia,hc,f_pid
0,25,1e-06,0
1,25,-0.337009408421462,0.01
2,25,0.115476553967423,0.01
3,25,0.0138624160011376,0.01
4,25,0.439229888652761,0.01
5,25,-0.218489272820954,0.01
6,25,6.53897429570133,99.99
7,25,9.33374878517054,99.99
8,25,11.3122420795121,99.99
9,25,12.9656424255125,99.99
10,25,14.0755340219966,99.99
11,25,15.5836239031261,99.99
12,25,16.4004394366694,99.99
13,25,17.4607182941133,99.99
14,25,18.3008615907055,99.99
15,25,19.0365786393205,99.99
16,25,20.3024369194345,99.99
17,25,20.7286717722953,99.99
18,25,21.3083877640038,99.99
19,25,21.9018107369728,99.99
20,25,22.762740208799,99.99
21,25,23.54488390854,99.99
22,25,23.8642036445351,99.99
23,25,24.3585431240389,99.99
24,25,24.8746981959432,99.99
25,25,25.5955519108085,99.99
26,25,25.2252284322868,0.01
27,25,25.4482028346481,0.01
28,25,25.0915272626039,0.01
29,25,24.7496292625142,0.01
30,25,24.7816835359175,0.01
31,25,24.6446427846018,23.4350242461336
32,25,24.763381017793,23.4350242461336
33,25,24.3259794689367,23.4350242461336
34,25,24.3720763902078,23.4350242461336
35,25,24.4828547293377,23.4350242461336
36,25,24.493395878739,55.4845164697149
37,25,24.3360653248628,55.4845164697149
38,25,25.1002607567064,55.4845164697149
39,25,25.2353780355943,55.4845164697149
40,25,25.3125768403101,55.4845164697149
41,25,25.0769508928857,0.01
42,25,25.1105902696299,0.01
43,25,24.9883434555659,0.01
44,25,24.7831439364532,0.01
45,25,24.4179565478908,0.01
46,25,24.9473692168671,62.4449426793341
47,25,25.0349938781479,62.4449426793341
48,25,25.3834147935644,62.4449426793341
49,25,25.4047089926762,62.4449426793341
50,25,25.8796746777293,62.4449426793341
51,25,25.5067187700184,0.01
52,25,25.5759139414994,0.01
53,25,25.3240784195579,0.01
54,25,25.0162064758126,0.01
55,25,25.0899645678065,0.01
56,25,25.0291028710648,0.01
57,25,24.9981981383224,0.01
58,25,24.5743139419352,0.01
59,25,24.4599842628524,0.01
60,25,24.1877703940494,0.01
61,25,24.6248581247305,87.1322253150086
62,25,25.1380016441273,87.1322253150086
63,25,25.5183693089147,87.1322253150086
64,25,25.833142235967,87.1322253150086
65,25,26.5704858384703,87.1322253150086
66,25,26.3611634155756,0.01
67,25,26.1449298003595,0.01
68,25,25.9425576300906,0.01
69,25,25.6374832817933,0.01
70,25,25.7013194835705,0.01
71,25,25.5206870459853,0.01
72,25,25.3881089313577,0.01
73,25,25.1901827989679,0.01
74,25,25.2309897684534,0.01
75,25,25.1953936054231,0.01
76,25,24.5699546947936,0.01
77,25,24.6405667263821,0.01
78,25,24.1681312137948,0.01
79,25,24.3137651956319,0.01
80,25,23.8773874128319,0.01
81,25,24.5704557036459,99.99
82,25,25.094207932519,99.99
83,25,25.4825284327475,99.99
84,25,26.1397642900461,99.99
85,25,26.6630761510652,99.99
86,25,26.5778637871939,0.01
87,25,26.2413063881974,0.01
88,25,26.3046107809918,0.01
89,25,25.8780454256323,0.01
90,25,25.9986885493767,0.01
91,25,25.8973844064158,0.01
92,25,25.7729093974797,0.01
93,25,25.6643028137194,0.01
94,25,25.6001434378156,0.01
95,25,25.2010585079677,0.01
96,25,25.066799030743,0.01
97,25,24.8319360830251,0.01
98,25,24.9059031910987,0.01
99,25,24.8148101970115,0.01
100,25,24.5340495074891,0.01
101,25,24.5456904899828,49.9921929664312
102,25,24.9004090358306,49.9921929664312
103,25,25.0533801191257,49.9921929664312
104,25,24.9277546429591,49.9921929664312
105,25,25.1994339620397,49.9921929664312
106,25,25.227071331823,0.01
107,25,25.1224026292937,0.01
108,25,25.1829267512869,0.01
109,25,24.544650688348,0.01
110,25,24.6881178600768,0.01
111,25,24.4994663928299,33.4684875474352
112,25,24.6545794813006,33.4684875474352
113,25,24.6792042002536,33.4684875474352
114,25,24.5201601742742,33.4684875474352
115,25,24.4549236413728,33.4684875474352
116,25,24.5605788397388,58.4787142439857
117,25,24.8707521784484,58.4787142439857
118,25,25.1627767950223,58.4787142439857
119,25,25.2842248541895,58.4787142439857
120,25,25.587861510549,58.4787142439857
121,25,25.446536092442,0.01
122,25,25.370726918946,0.01
123,25,25.0594143388053,0.01
124,25,24.9888094297361,0.01
125,25,24.7874508310964,0.01
126,25,24.8972745313121,22.8151530157138
127,25,24.5261343190095,22.8151530157138
128,25,24.4756545108807,22.8151530157138
129,25,24.4285751312384,22.8151530157138
130,25,24.3334879960727,22.8151530157138
131,25,24.8428875098649,71.5027670763894
132,25,24.7713437875237,71.5027670763894
133,25,25.1085256347464,71.5027670763894
134,25,25.6523659989442,71.5027670763894
135,25,25.8119822465235,71.5027670763894
136,25,25.7962732600364,0.01
137,25,25.5376545043619,0.01
138,25,25.1589417098569,0.01
139,25,25.2517611707471,0.01
140,25,25.1985242159784,0.01
141,25,25.0115136451657,0.01
142,25,24.9768329188523,0.01
143,25,24.6092079811814,0.01
144,25,24.6604206823763,0.01
145,25,24.4638160672958,0.01
146,25,24.6030552161824,57.5249195883153
147,25,25.0614411816616,57.5249195883153
148,25,24.7916669082959,57.5249195883153
149,25,25.3672649578255,57.5249195883153
150,25,25.1350904952107,57.5249195883153
151,25,25.3395555262717,0.01
152,25,25.0819861734773,0.01
153,25,25.050894761863,0.01
154,25,24.7022384675586,0.01
155,25,24.7227869531205,0.01
156,25,24.4940787172725,29.7504807980818
157,25,24.7478846710213,29.7504807980818
158,25,24.5804165574514,29.7504807980818
159,25,24.5126310305456,29.7504807980818
160,25,24.5125535074636,29.7504807980818
161,25,24.6672408399294,52.2981482735187
162,25,24.971416554263,52.2981482735187
163,25,24.6903837082955,52.2981482735187
164,25,25.3299399374777,52.2981482735187
165,25,25.5453377967134,52.2981482735187
166,25,25.1534533174117,0.01
167,25,25.1518825380041,0.01
168,25,24.8113545624592,0.01
169,25,25.0229485928007,0.01
170,25,24.6866576956995,0.01
171,25,24.7505235664604,33.6254468473605
172,25,24.453133379017,33.6254468473605
173,25,24.6052145988899,33.6254468473605
174,25,24.6148171046728,33.6254468473605
175,25,24.5993350829105,33.6254468473605
176,25,24.6616077437102,42.9909444965419
177,25,24.8150044453623,42.9909444965419
178,25,25.0105442217695,42.9909444965419
179,25,24.9228396169029,42.9909444965419
180,25,25.2435867709207,42.9909444965419
181,25,24.8430837000284,0.01
182,25,24.7698308529906,0.01
183,25,24.3980338091902,0.01
184,25,24.3625186224856,0.01
185,25,24.3921796579078,0.01
186,25,24.4109553455575,65.2084377333466
187,25,24.9132248385463,65.2084377333466
188,25,25.1962654527629,65.2084377333466
189,25,25.180522251747,65.2084377333466
190,25,25.2513878115623,65.2084377333466
191,25,25.4087155313169,0.01
192,25,24.9001012867821,0.01
193,25,25.2809338184942,0.01
194,25,25.0026839851645,0.01
195,25,24.8425718153923,0.01
196,25,24.5237594331634,16.9040465446349
197,25,24.668441537795,16.9040465446349
198,25,24.4636186775654,16.9040465446349
199,25,24.324432380467,16.9040465446349
200,25,24.2184024706993,16.9040465446349
201,25,24.4409629846586,83.8462828329191
202,25,24.9974304184349,83.8462828329191
203,25,25.5184087004077,83.8462828329191
204,25,25.7032278886881,83.8462828329191
205,25,26.1097296884849,83.8462828329191
206,25,26.0941528625971,0.01
207,25,25.7466430959787,0.01
208,25,25.8329448555985,0.01
209,25,25.3663808043657,0.01
210,25,25.3785524737092,0.01
211,25,25.1366370119031,0.01
212,25,25.3429966406801,0.01
213,25,24.9111517471755,0.01
214,25,25.0143115145498,0.01
215,25,24.6837542461253,0.01
216,25,24.7944632484361,33.9369724233656
217,25,24.7552263831422,33.9369724233656
218,25,24.6640256810151,33.9369724233656
219,25,24.8418655535656,33.9369724233656
220,25,24.4937461234371,33.9369724233656
221,25,25.1286544434052,54.3154923753021
222,25,24.999712296699,54.3154923753021
223,25,25.357996076257,54.3154923753021
224,25,25.4238700256491,54.3154923753021
225,25,25.6306047259002,54.3154923753021
226,25,25.3100842659347,0.01
227,25,25.043907179579,0.01
228,25,25.0841013106534,0.01
229,25,25.2352831698348,0.01
230,25,24.9355380162583,0.01
231,25,24.7656083127292,6.93325336315907
232,25,24.6556284751676,6.93325336315907
233,25,24.3823558223792,6.93325336315907
234,25,24.1816257198448,6.93325336315907
235,25,24.3624702671948,6.93325336315907
236,25,24.4908933397596,68.3947997795806
237,25,24.606502668062,68.3947997795806
238,25,24.7833284442781,68.3947997795806
239,25,25.2792421439357,68.3947997795806
240,25,25.656512642963,68.3947997795806
241,25,25.3511599919559,0.01
242,25,25.1279659642546,0.01
243,25,25.1262136518765,0.01
244,25,24.6950321123745,0.01
245,25,24.7371296537952,0.01
246,25,24.643725423483,28.2125716352263
247,25,24.7393372234348,28.2125716352263
248,25,24.5131536094448,28.2125716352263
249,25,24.6230405337758,28.2125716352263
250,25,24.7794850256073,28.2125716352263
251,25,24.678875582742,23.6700816888723
252,25,24.4442635826682,23.6700816888723
253,25,24.2929137360387,23.6700816888723
254,25,24.3629616257819,23.6700816888723
255,25,24.4575005102576,23.6700816888723
256,25,24.3596803896165,58.2030247124259
257,25,24.5459424354159,58.2030247124259
258,25,25.0919738571105,58.2030247124259
259,25,24.9438193448938,58.2030247124259
260,25,25.227179282644,58.2030247124259
261,25,25.0320173307249,0.01
262,25,25.1551082523332,0.01
263,25,25.1209237991107,0.01
264,25,24.8538842932913,0.01
265,25,24.3185972927791,0.01
266,25,24.923947250825,73.1005431451578
267,25,25.3753654083061,73.1005431451578
268,25,25.4813459370331,73.1005431451578
269,25,25.7732045035759,73.1005431451578
270,25,26.1964905735783,73.1005431451578
271,25,26.0737036668364,0.01
272,25,26.0424715230082,0.01
273,25,25.7309797323707,0.01
274,25,25.4462294314141,0.01
275,25,25.3010650702431,0.01
276,25,25.3159035305181,0.01
277,25,25.0742376416756,0.01
278,25,24.8500132095738,0.01
279,25,24.4871922395891,0.01
280,25,24.6440441594943,0.01
281,25,24.6867054099411,38.1959826899867
282,25,24.5436551421413,38.1959826899867
283,25,24.8438443826809,38.1959826899867
284,25,24.7295854142641,38.1959826899867
285,25,24.6877955248435,38.1959826899867
286,25,24.9656759091222,33.5038162335169
287,25,24.9213471474193,33.5038162335169
288,25,25.0190738260542,33.5038162335169
289,25,24.8940461122215,33.5038162335169
290,25,24.7735011607421,33.5038162335169
291,25,24.4431443106278,24.312033675597
292,25,24.3946948057295,24.312033675597
293,25,24.4809790334195,24.312033675597
294,25,24.4342283015443,24.312033675597
295,25,24.398681592964,24.312033675597
296,25,24.9479790221487,64.5115388875018
297,25,25.1038038136461,64.5115388875018
298,25,25.1036973637934,64.5115388875018
299,25,25.6693311800707,64.5115388875018
300,25,25.671145144287,64.5115388875018
