tiempo,referencia,hc,f_pid
1,40,-0.0013,0.0
26,40,40.0086,100.0
51,40,37.7874,0.0940821250000451
76,40,43.2927,39.7178801260206
101,40,41.297,0.0
126,40,41.3991,0.0
151,40,39.29,0.0
176,40,36.9994,12.9575703616449
201,40,34.5414,53.6691022427915
226,40,31.8826,97.4149081677146
251,40,34.1095,100.0
276,40,40.3314,100.0
301,40,45.3263,0.0
326,40,49.4257,0.0
351,40,47.7661,0.0
376,40,45.9751,0.0
401,39,44.1157,0.0
426,39,42.0886,0.0
451,39,40.0171,0.0
476,39,37.7805,0.0
501,39,35.4241,21.7814260493309
526,39,32.8382,64.1266116017522
551,39,30.9706,100.0
576,39,34.5758,100.0
601,39,40.8863,79.1096032034783
626,39,45.7869,0.0
651,39,48.5297,0.0
676,39,46.779,0.0
701,39,44.95,0.0
726,39,43.0044,0.0
751,39,40.9543,0.0
776,39,38.8115,0.0
801,27,36.4972,3.34255606061116
826,27,33.9849,0.0
851,27,31.2595,0.0
876,27,28.2678,0.0
901,27,24.8591,0.0
926,27,20.8736,38.4431592885337
951,27,15.9476,100.0
976,27,18.7942,100.0
1001,27,31.4714,100.0
1026,27,38.7024,0.0
1051,27,44.0447,0.0
1076,27,42.0684,0.0
1101,27,39.9758,0.0
1126,27,37.7523,0.0
1151,27,35.3756,0.0
1176,27,32.7571,0.0
1201,24,29.9213,0.0
1226,24,26.7637,0.0
1251,24,23.1356,0.0
1276,24,18.7257,15.5558162564202
1301,24,13.1439,93.9222712103489
1326,24,5.3522,100.0
1351,24,27.0785,100.0
1376,24,35.8477,0.0
1401,24,41.831,0.0
1426,24,39.7708,0.0
1451,24,37.5135,0.0
1476,24,35.1004,0.0
1501,24,32.4839,0.0
1526,24,29.6081,0.0
1551,24,26.3924,0.0
1576,24,22.6691,0.0
1601,47,18.2373,23.5317711083767
1626,47,12.4462,100.0
1651,47,10.3691,100.0
1676,47,28.8353,100.0
1701,47,36.9359,100.0
1726,47,42.6698,100.0
1751,47,47.2177,77.2777479978501
1776,47,51.07,0.0
1801,47,53.2083,0.0
1826,47,51.6358,0.0
1851,47,50.0249,0.0
1876,47,48.3366,0.0
1901,47,46.5548,0.0
1926,47,44.7423,8.00892200104389
1951,47,42.7934,40.1684078538344
1976,47,40.7109,75.1846531718039
2001,38,40.9377,100.0
2026,38,43.9076,0.0
2051,38,48.2745,0.0
2076,38,46.5203,0.0
2101,38,44.7068,0.0
2126,38,42.7242,0.0
2151,38,40.6806,0.0
2176,38,38.4958,0.0
2201,38,36.1543,0.0
2226,38,33.6428,32.6844201780405
2251,38,30.8844,77.7960742020847
2276,38,30.5363,100.0
2301,38,35.767,100.0
2326,38,41.7496,39.8123342650413
2351,38,46.4863,0.0
2376,38,46.5436,0.0
2401,23,44.6856,0.0
2426,23,42.7246,0.0
2451,23,40.6701,0.0
2476,23,38.5063,0.0
2501,23,36.1596,0.0
2526,23,33.6306,0.0
2551,23,30.8909,0.0
2576,23,27.8084,0.0
2601,23,24.3267,0.0
2626,23,20.276,0.0
2651,23,15.1665,48.4486017403678
2676,23,7.756,100.0
2701,23,17.8462,100.0
2726,23,31.1011,91.8896701959135
2751,23,38.4566,0.0
2776,23,43.1845,0.0
2801,40,41.1969,0.0
2826,40,39.0369,0.0
2851,40,36.7513,17.0329268159464
2876,40,34.279,57.5311599937207
2901,40,31.9032,100.0
2926,40,34.6016,100.0
2951,40,40.8831,96.2862547215668
2976,40,45.7703,0.0
3001,40,49.6028,0.0
3026,40,47.9349,0.0
3051,40,46.1521,0.0
3076,40,44.2795,0.0
3101,40,42.3268,0.0
3126,40,40.2234,0.0
3151,40,38.0372,0.0
3176,40,35.6534,34.7874056856338
3201,23,33.0878,77.2797159265431
3226,23,32.9328,0.0
3251,23,37.5376,0.0
3276,23,35.1198,0.0
3301,23,32.532,0.0
3326,23,29.68,0.0
3351,23,26.4468,0.0
3376,23,22.7533,0.0
3401,23,18.3139,3.85377693922424
3426,23,12.5622,83.2569684557751
3451,23,2.7618,100.0
3476,23,25.0315,100.0
3501,23,34.635,0.0
3526,23,40.9479,0.0
3551,23,38.8014,0.0
3576,23,36.4908,0.0
3601,37,33.9907,0.0
3626,37,31.2631,53.0735426885427
3651,37,28.2503,100.0
3676,37,30.9712,100.0
3701,37,38.3293,100.0
3726,37,43.7509,0.0
3751,37,48.141,0.0
3776,37,46.3827,0.0
3801,37,44.5326,0.0
3826,37,42.599,0.0
3851,37,40.5038,0.0
3876,37,38.298,0.0
3901,37,35.9499,0.0
3926,37,33.4053,17.9451077276736
3951,37,30.6758,63.2577973281755
3976,37,28.1334,100.0
4001,33,32.2381,100.0
4026,33,39.1884,13.0227233621833
4051,33,44.4373,0.0
4076,33,42.495,0.0
4101,33,40.4341,0.0
4126,33,38.2233,0.0
4151,33,35.8674,0.0
4176,33,33.3046,0.0
4201,33,30.5386,0.0
4226,33,27.4406,43.2876393824209
4251,33,23.8935,98.6071158784262
4276,33,25.891,100.0
4301,33,34.9414,100.0
4326,33,41.1651,0.0
4351,33,46.0127,0.0
4376,33,44.1641,0.0
4401,29,42.1637,0.0
4426,29,40.1148,0.0
4451,29,37.8498,0.0
4476,29,35.5181,0.0
4501,29,32.9026,0.0
4526,29,30.0581,0.0
4551,29,26.9154,0.0
4576,29,23.2848,36.3482016753774
4601,29,19.0248,100.0
4626,29,20.4906,100.0
4651,29,32.2308,100.0
4676,29,39.2379,0.0
4701,29,44.4466,0.0
4726,29,42.532,0.0
4751,29,40.4665,0.0
4776,29,38.2534,0.0
4801,46,35.8918,0.0
4826,46,33.3202,100.0
4851,46,30.5479,100.0
4876,46,38.0287,100.0
4901,46,43.5092,100.0
4926,46,47.9346,43.5378026057613
4951,46,51.6809,0.0
4976,46,51.8308,0.0
5001,46,50.2435,0.0
5026,46,48.5454,0.0
5051,46,46.8221,0.0
5076,46,44.9699,0.0
5101,46,43.0552,17.5524810931989
5126,46,41.0334,51.997415935407
5151,46,39.1524,88.0166183759058
5176,46,40.4206,100.0
5201,20,44.5383,98.7791245152849
5226,20,48.7681,0.0
5251,20,52.3429,0.0
5276,20,50.7495,0.0
5301,20,49.1137,0.0
5326,20,47.3812,0.0
5351,20,45.5677,0.0
5376,20,43.6542,0.0
5401,20,41.6821,0.0
5426,20,39.5756,0.0
5451,20,37.2894,0.0
5476,20,34.8707,0.0
5501,20,32.2301,0.0
5526,20,29.3219,0.0
5551,20,26.0689,0.0
5576,20,22.3257,0.0
5601,27,17.7752,0.0
5626,27,11.8048,100.0
5651,27,0.9634,100.0
5676,27,27.8058,100.0
5701,27,36.2748,0.0
5726,27,42.1713,0.0
5751,27,40.1141,0.0
5776,27,37.8928,0.0
5801,27,35.5076,0.0
