tiempo,referencia,hc,f_pid
0,40,1e-06,0
1,40,-0.168521053046269,0.01
2,40,0.05774455018409,0.01
3,40,0.0069324010020687,0.01
4,40,0.219637403574888,0.01
5,40,-0.109255059831776,0.01
6,40,0.0643426427912808,0.01
7,40,0.0670631469575496,0.01
8,40,0.0541641466447186,0.01
9,40,0.098198983444989,0.01
10,40,-0.120234257728675,0.01
11,40,0.157963113316517,0.01
12,40,-0.0690565242799151,0.01
13,40,0.0092876319058259,0.01
14,40,-0.0431493911367465,0.01
15,40,-0.13499395771756,0.01
16,40,0.32396214842426,0.01
17,40,0.0328801014917844,0.01
18,40,-0.0772379148515789,0.01
19,40,-0.142058960999428,0.01
20,40,0.0833733454853668,0.01
21,40,0.261306281147524,0.01
22,40,0.00829532542425032,0.01
23,40,-0.0515723431407848,0.01
24,40,-0.0700103768436466,0.01
25,40,0.135635408489894,0.01
26,40,-0.125456813959532,0.01
27,40,0.241965331790701,0.01
28,40,0.0292393263120758,0.01
29,40,-0.167237659278073,0.01
30,40,0.0108020667853329,0.01
31,40,6.41591229589786,99.99
32,40,9.3623202042101,99.99
33,40,11.0868645889538,99.99
34,40,12.782644227898,99.99
35,40,14.2796114851183,99.99
36,40,15.358990430657,99.99
37,40,16.1898691962227,99.99
38,40,17.57894533831,99.99
39,40,18.4467646723067,99.99
40,40,19.212644041146,99.99
41,40,19.9177546257037,99.99
42,40,20.7747152227321,99.99
43,40,21.4846026639015,99.99
44,40,22.1039387835346,99.99
45,40,22.5857851578365,99.99
46,40,23.3981110177776,99.99
47,40,23.8780137092978,99.99
48,40,24.5135137859795,99.99
49,40,24.9118760301835,99.99
50,40,25.5980023226469,99.99
51,40,25.9299798653917,99.99
52,40,26.5533853749063,99.99
53,40,26.9496068205893,99.99
54,40,27.2966523713138,99.99
55,40,27.8823706839915,99.99
56,40,28.367935186955,99.99
57,40,28.8620460996828,99.99
58,40,29.0916514745445,99.99
59,40,29.5128979759634,99.99
60,40,29.8240516231568,99.99
61,40,29.9461480566997,50
62,40,30.0912945048209,50
63,40,30.1579568491989,50
64,40,30.1885203813379,50
65,40,30.5010019661009,50
66,40,30.5239732446762,50
67,40,30.5596566256945,50
68,40,30.6044868638042,50
69,40,30.5828425986268,50
70,40,30.8003516553219,50
71,40,30.8594323762144,50
72,40,30.9496060575047,50
73,40,30.9977280842389,50
74,40,31.1993711667334,50
75,40,31.3516329688877,50
76,40,31.1262865156665,50
77,40,31.346718200858,50
78,40,31.2206000531052,50
79,40,31.4885612362523,50
80,40,31.3864391057786,50
81,40,31.5818301765384,50
82,40,31.6592248440858,50
83,40,31.6604513665082,50
