tiempo,referencia,hc,f_pid
0,40,1e-06,0
1,40,1e-06,0.01
2,40,1e-06,0.01
3,40,1e-06,0.01
4,40,1e-06,0.01
5,40,1e-06,0.01
6,40,1e-06,0.01
7,40,1e-06,0.01
8,40,1e-06,0.01
9,40,1e-06,0.01
10,40,1e-06,0.01
11,40,1e-06,0.01
12,40,1e-06,0.01
13,40,1e-06,0.01
14,40,1e-06,0.01
15,40,1e-06,0.01
16,40,1e-06,0.01
17,40,1e-06,0.01
18,40,1e-06,0.01
19,40,1e-06,0.01
20,40,1e-06,0.01
21,40,1e-06,0.01
22,40,1e-06,0.01
23,40,1e-06,0.01
24,40,1e-06,0.01
25,40,1e-06,0.01
26,40,1e-06,0.01
27,40,1e-06,0.01
28,40,1e-06,0.01
29,40,1e-06,0.01
30,40,1e-06,0.01
31,40,6.45363655556457,99.99
32,40,9.25034473021168,99.99
33,40,11.2473983917967,99.99
34,40,12.8512459603771,99.99
35,40,14.2126466126848,99.99
36,40,15.4066203566704,99.99
37,40,16.4766766672528,99.99
38,40,17.4505982499264,99.99
39,40,18.3473475735678,99.99
40,40,19.1805176976384,99.99
41,40,19.9602271012932,99.99
42,40,20.6942366763593,99.99
43,40,21.3886457962611,99.99
44,40,22.0483459241356,99.99
45,40,22.6773273119352,99.99
46,40,23.2788928793761,99.99
47,40,23.8558113413182,99.99
48,40,24.4104293556207,99.99
49,40,24.9447552981667,99.99
50,40,25.4605229406253,99.99
51,40,25.9592406038022,99.99
52,40,26.4422296249958,99.99
53,40,26.9106548367826,99.99
54,40,27.3655489872731,99.99
55,40,27.8078325054043,99.99
56,40,28.238329647108,99.99
57,40,28.6577817971192,99.99
58,40,29.0668585130703,99.99
59,40,29.4661667610973,99.99
60,40,29.8562586905462,99.99
61,40,29.9608356742694,50
62,40,30.0500408889873,50
63,40,30.1386502477944,50
64,40,30.2266725686465,50
65,40,30.3141164655164,50
66,40,30.4009903547948,50
67,40,30.4873024614371,50
68,40,30.5730608248708,50
69,40,30.6582733046722,50
70,40,30.7429475860253,50
71,40,30.8270911849712,50
72,40,30.9107114534593,50
73,40,30.9938155842082,50
74,40,31.0764106153847,50
75,40,31.1585034351107,50
76,40,31.2401007858037,50
77,40,31.3212092683591,50
78,40,31.4018353461824,50
79,40,31.4819853490749,50
80,40,31.5616654769825,50
81,40,31.6408818036114,50
82,40,31.7196402799169,50
83,40,31.7979467374708,50
84,40,31.8758068917125,50
85,40,31.9532263450884,50
86,40,32.0302105900844,50
87,40,32.1067650121557,50
88,40,32.1828948925585,50
89,40,32.2586054110871,50
90,40,32.3339016487202,50
91,40,32.5313733753497,75
92,40,32.7329641774334,75
93,40,32.932237382267,75
94,40,33.1292558104171,75
95,40,33.3240796154875,75
96,40,33.5167664371293,75
97,40,33.7073715430561,75
98,40,33.8959479610102,75
99,40,34.0825466015272,75
100,40,34.2672163722706,75
101,40,34.4500042846246,75
102,40,34.6309555531758,75
103,40,34.8101136886501,75
104,40,34.9875205848201,75
105,40,35.1632165998522,75
106,40,35.3372406325187,75
107,40,35.5096301936634,75
108,40,35.6804214732753,75
109,40,35.8496494034926,75
110,40,36.0173477178344,75
111,40,36.1835490069295,75
112,40,36.3482847709917,75
113,40,36.5115854692683,75
114,40,36.6734805666718,75
115,40,36.8339985777876,75
116,40,36.9931671084332,75
117,40,37.1510128949347,75
118,40,37.3075618412685,75
119,40,37.4628390542095,75
120,40,37.6168688766128,75
121,40,37.5363915980754,13.7813597683725
122,40,37.443347234621,13.7813597683725
