tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1
0,40,1e-06,0.0,,,,,,,,,
10,40,-0.0850181660776584,0.01,1e-06,,,,0.0,,,,
20,40,0.0589541508561305,0.01,-0.0850181660776584,1e-06,,,0.01,0.0,,,0.0
30,40,0.0076385075679577,0.01,0.0589541508561305,-0.0850181660776584,1e-06,,0.01,0.01,0.0,,0.0
40,40,19.2032344529873,99.99,0.0076385075679577,0.0589541508561305,-0.0850181660776584,1e-06,0.01,0.01,0.01,0.0,19.176549911499023
50,40,25.5577355439261,99.99,19.2032344529873,0.0076385075679577,0.0589541508561305,-0.0850181660776584,99.99,0.01,0.01,0.01,25.526165008544922
60,40,29.833484854793,99.99,25.5577355439261,19.2032344529873,0.0076385075679577,0.0589541508561305,99.99,99.99,0.01,0.01,29.891935348510742
70,40,30.7835383926926,50.0,29.833484854793,25.5577355439261,19.2032344529873,0.0076385075679577,99.99,99.99,99.99,0.01,30.64634895324707
80,40,31.4377617216615,50.0,30.7835383926926,29.833484854793,25.5577355439261,19.2032344529873,50.0,99.99,99.99,99.99,31.45964813232422
90,40,32.3303884519942,50.0,31.4377617216615,30.7835383926926,29.833484854793,25.5577355439261,50.0,50.0,99.99,99.99,32.12409591674805
100,40,34.2505425222331,75.0,32.3303884519942,31.4377617216615,30.7835383926926,29.833484854793,50.0,50.0,50.0,99.99,34.18041229248047
110,40,36.0956896362308,75.0,34.2505425222331,32.3303884519942,31.4377617216615,30.7835383926926,75.0,50.0,50.0,50.0,35.87063980102539
120,40,37.6507918233865,75.0,36.0956896362308,34.2505425222331,32.3303884519942,31.4377617216615,75.0,75.0,50.0,50.0,37.62897491455078
130,40,36.6594965270875,13.053765207685,37.6507918233865,36.0956896362308,34.2505425222331,32.3303884519942,75.0,75.0,75.0,50.0,36.56696319580078
140,40,35.7284606215652,13.053765207685,36.6594965270875,37.6507918233865,36.0956896362308,34.2505425222331,13.053765207685,75.0,75.0,75.0,35.693885803222656
150,40,34.6052458020283,13.053765207685,35.7284606215652,36.6594965270875,37.6507918233865,36.0956896362308,13.053765207685,13.053765207685,75.0,75.0,34.76560592651367
160,40,37.1675382907651,93.4731173961575,34.6052458020283,35.7284606215652,36.6594965270875,37.6507918233865,13.053765207685,13.053765207685,13.053765207685,75.0,37.11253356933594
170,40,39.4372593683557,93.4731173961575,37.1675382907651,34.6052458020283,35.7284606215652,36.6594965270875,93.4731173961575,13.053765207685,13.053765207685,13.053765207685,39.47064208984375
180,40,41.4963975953222,93.4731173961575,39.4372593683557,37.1675382907651,34.6052458020283,35.7284606215652,93.4731173961575,93.4731173961575,13.053765207685,13.053765207685,41.54245376586914
190,40,40.4500475995719,0.01,41.4963975953222,39.4372593683557,37.1675382907651,34.6052458020283,93.4731173961575,93.4731173961575,93.4731173961575,13.053765207685,40.54751205444336
200,40,39.7250426311701,0.01,40.4500475995719,41.4963975953222,39.4372593683557,37.1675382907651,0.01,93.4731173961575,93.4731173961575,93.4731173961575,39.50005340576172
210,40,38.8000982421157,0.01,39.7250426311701,40.4500475995719,41.4963975953222,39.4372593683557,0.01,0.01,93.4731173961575,93.4731173961575,38.85151290893555
220,40,39.1535453249916,49.2870587503547,38.8000982421157,39.7250426311701,40.4500475995719,41.4963975953222,0.01,0.01,0.01,93.4731173961575,39.16160583496094
230,40,39.7290051089398,49.2870587503547,39.1535453249916,38.8000982421157,39.7250426311701,40.4500475995719,49.2870587503547,0.01,0.01,0.01,39.52214431762695
240,40,40.1845703108349,49.2870587503547,39.7290051089398,39.1535453249916,38.8000982421157,39.7250426311701,49.2870587503547,49.2870587503547,0.01,0.01,40.11273956298828
250,40,39.3263849778091,0.01,40.1845703108349,39.7290051089398,39.1535453249916,38.8000982421157,49.2870587503547,49.2870587503547,49.2870587503547,0.01,39.356201171875
260,40,38.3565961203574,0.01,39.3263849778091,40.1845703108349,39.7290051089398,39.1535453249916,0.01,49.2870587503547,49.2870587503547,49.2870587503547,38.410987854003906
270,40,37.5130735660541,0.01,38.3565961203574,39.3263849778091,40.1845703108349,39.7290051089398,0.01,0.01,49.2870587503547,49.2870587503547,37.39706802368164
280,40,38.5780845763017,65.8500896710993,37.5130735660541,38.3565961203574,39.3263849778091,40.1845703108349,0.01,0.01,0.01,49.2870587503547,38.55769729614258
290,40,39.6098527093048,65.8500896710993,38.5780845763017,37.5130735660541,38.3565961203574,39.3263849778091,65.8500896710993,0.01,0.01,0.01,39.568111419677734
300,40,40.6390538215419,65.8500896710993,39.6098527093048,38.5780845763017,37.5130735660541,38.3565961203574,65.8500896710993,65.8500896710993,0.01,0.01,40.54886245727539
310,40,39.8824869671098,0.01,40.6390538215419,39.6098527093048,38.5780845763017,37.5130735660541,65.8500896710993,65.8500896710993,65.8500896710993,0.01,39.78179931640625
320,40,38.972956291948,0.01,39.8824869671098,40.6390538215419,39.6098527093048,38.5780845763017,0.01,65.8500896710993,65.8500896710993,65.8500896710993,39.002662658691406
