tiempo,referencia,hc,f_pid,y_hat
51,40,37.778,0.0940821250000451,35.259388
76,40,43.2839,39.7178801260206,42.84482
101,40,41.2877,0.0,41.70338
126,40,41.3972,0.0,40.074192
151,40,39.2797,0.0,39.277733
176,40,37.0149,12.9575703616449,36.991325
201,40,34.57,53.6691022427915,34.574173
226,40,31.8729,97.4149081677146,31.89567
251,40,34.0847,100.0,34.148327
276,40,40.3169,100.0,40.303555
301,40,45.317,0.0,45.274094
326,40,49.4351,0.0,49.50626
351,40,47.7747,0.0,47.706696
376,40,45.9835,0.0,45.993008
401,39,44.1214,0.0,44.115623
426,39,42.1153,0.0,42.156387
451,39,40.0225,0.0,40.017506
476,39,37.778,0.0,37.78372
501,39,35.4056,21.7814260493309,35.38368
526,39,32.8242,64.1266116017522,32.86258
551,39,30.9756,100.0,30.996243
576,39,34.5684,100.0,34.69112
601,39,40.892,79.1096032034783,40.94502
626,39,45.7967,0.0,45.736954
651,39,48.516,0.0,48.71656
676,39,46.7907,0.0,46.79014
701,39,44.9751,0.0,44.963097
726,39,43.0017,0.0,43.053894
751,39,40.9792,0.0,40.964287
776,39,38.8322,0.0,38.807137
801,27,36.5052,3.34255606061116,36.51287
826,27,33.9702,0.0,33.942066
851,27,31.2702,0.0,31.195196
876,27,28.255,0.0,28.24736
901,27,24.8508,0.0,24.832626
926,27,20.8953,38.4431592885337,20.924246
951,27,15.9461,100.0,16.100359
976,27,18.7554,100.0,18.74239
1001,27,31.4785,100.0,31.4641
1026,27,38.6854,0.0,38.70926
1051,27,44.0343,0.0,44.024555
1076,27,42.0898,0.0,42.073902
1101,27,39.9713,0.0,39.99492
1126,27,37.7577,0.0,37.72733
1151,27,35.3866,0.0,35.36435
1176,27,32.7378,0.0,32.829132
1201,24,29.9423,0.0,29.886139
1226,24,26.7494,0.0,26.762108
1251,24,23.1095,0.0,23.103167
1276,24,18.7213,15.5558162564202,18.790222
1301,24,13.1497,93.9222712103489,12.925863
1326,24,5.3694,100.0,6.61264
1351,24,27.0773,100.0,26.928444
1376,24,35.8604,0.0,35.804882
1401,24,41.8439,0.0,41.810654
1426,24,39.754,0.0,39.83042
1451,24,37.5033,0.0,37.498177
1476,24,35.1052,0.0,35.09085
1501,24,32.4887,0.0,32.52765
1526,24,29.6099,0.0,29.60986
1551,24,26.3766,0.0,26.385344
1576,24,22.6759,0.0,22.675491
1601,47,18.2413,23.5317711083767,18.2473
1626,47,12.4447,100.0,12.58402
1651,47,10.3903,100.0,10.777574
1676,47,28.8361,100.0,28.996996
1701,47,36.9435,100.0,36.83438
1726,47,42.6858,100.0,42.679893
1751,47,47.2273,77.2777479978501,47.256397
1776,47,51.0551,0.0,51.04448
1801,47,53.1835,0.0,53.194992
1826,47,51.6204,0.0,51.63801
1851,47,50.0202,0.0,50.01598
1876,47,48.3331,0.0,48.339783
1901,47,46.5629,0.0,46.580624
1926,47,44.7416,8.00892200104389,44.725307
1951,47,42.7898,40.1684078538344,42.748055
